questionText,option1,option2,option3,option4,correctAnswer
"What is the capital of France?","London","Berlin","Paris","Madrid","option3"
"Which planet is known as the Red Planet?","Earth","Mars","Jupiter","Venus","option2"
"How many sides does a triangle have?","Three","Four","Five","Six","option1"
"Who painted the Mona Lisa?","Pablo Picasso","Vincent van Gogh","Leonardo da Vinci","Michelangelo","option3"
"What is the largest mammal in the world?","Elephant","Blue whale","Giraffe","Hippo","option2"
"Which country is famous for the Taj Mahal?","India","Egypt","China","Italy","option1"
"Who wrote 'To Kill a Mockingbird'?","George Orwell","Mark Twain","Harper Lee","Charles Dickens","option3"
"What is the chemical symbol for gold?","Au","Ag","G","Go","option1"
"Which language is used for web development?","Java","Python","HTML/CSS","C++","option3"
"What is the square root of 144?","10","12","14","16","option2"
"What is the capital of Japan?","Beijing","Tokyo","Seoul","Bangkok","option2"
"Which animal is known as the 'King of the Jungle'?","Elephant","Lion","Tiger","Giraffe","option2"
"Who is credited with inventing the telephone?","Thomas Edison","Nikola Tesla","Alexander Graham Bell","James Watt","option3"
"What is the largest ocean in the world?","Atlantic Ocean","Indian Ocean","Arctic Ocean","Pacific Ocean","option4"
"What is the tallest mountain in the world?","Mount Everest","K2","Kangchenjunga","Makalu","option1"
"Who was the first man to step on the moon?","Buzz Aldrin","Neil Armstrong","Yuri Gagarin","Michael Collins","option2"
"What is the closest planet to the Sun?","Venus","Mercury","Mars","Earth","option2"
"Which gas do plants absorb during photosynthesis?","Carbon monoxide","Oxygen","Nitrogen","Carbon dioxide","option4"
"What is the primary component of the Earth's atmosphere?","Oxygen","Nitrogen","Carbon dioxide","Argon","option2"
"What year did World War II end?","1945","1918","1939","1950","option1"
